rawName,id,name,damageType,damage,knockback,speed,autoswing,rarity,sell,obtained,material,tooltip,subclass,progression tier
Bee_Keeper,1123,Bee Keeper,Melee,30,Average,Very fast,TRUE,3,2 Gold Coins,Drop,TRUE,Summons killer bees after striking your foe | Small chance to cause confusion,Swords,Pre-Skeletron
Betsy%27s_Wrath,3870,Betsy's Wrath,Magic,100,Strong,Very fast,TRUE,8,5 Gold Coins,Drop,FALSE,Splashes defense reducing miasma!,Wands,Pre-Lunatic Cultist
Blade_Staff,4758,Blade Staff,Summon,6,No knockback,Very slow,TRUE,5,1 Gold Coin,Drop,FALSE,Summons an Enchanted Dagger to fight for you | Ignores a substantial amount of enemy defense | 'Don't let their small size fool you',Summons,Pre-mechanical bosses
Blade_of_Grass,190,Blade of Grass,Melee,18,Average,Very fast,FALSE,3,54 Silver Coins,Crafting,TRUE,Has a chance to poison enemies,Swords,Pre-Bosses
Bladed_Glove,1827,Bladed Glove,Melee,14,Weak,Insanely fast,TRUE,2,1 Gold Coin,Drop,FALSE,,Swords,Pre-Bosses
Bladetongue,3211,Bladetongue,Melee,55,Average,Average,TRUE,5,4 Gold Coins,Fishing,FALSE,Spits an Ichor stream on contact,Swords,Pre-mechanical bosses
Blizzard_Staff,1931,Blizzard Staff,Magic,58,Average,Very fast,TRUE,8,9 Gold Coins,Drop,FALSE,Showers an area with icicles,Wands,Pre-Golem
Blood_Butcherer,795,Blood Butcherer,Melee,22,Average,Fast,FALSE,1,27 Silver Coins,Crafting,TRUE,,Swords,Pre-Bosses
Blood_Rain_Bow,4381,Blood Rain Bow,Ranged,14,Very weak,Very fast,TRUE,3,1 Gold Coin,Drop,FALSE,Rains blood from the sky | 'Reign in Blood',Bows,Pre-Bosses
Blood_Thorn,4270,Blood Thorn,Magic,34,Extremely weak,Slow,TRUE,4,4 Gold Coins,Drop,FALSE,Summons blood thorns from the ground,,Pre-mechanical bosses
Bloody_Machete,1825,Bloody Machete,Melee,20,Average,Very fast,FALSE,2,1 Gold Coin,Drop,FALSE,,Boomerangs,Pre-Bosses
Blowgun,986,Blowgun,Ranged,27,Weak,Slow,TRUE,3,1 Gold Coin,Buy,FALSE,Allows the collection of seeds for ammo,Specialist,Pre-Skeletron
Blowpipe,281,Blowpipe,Ranged,9,Weak,Fast,TRUE,0,20 Silver Coins,Chest,FALSE,Allows the collection of seeds for ammo,Specialist,Pre-Bosses
Blue_Moon,163,Blue Moon,Melee,54,Average,Very slow,FALSE,2,1 Gold 75 Silver Coins,Chest,FALSE,,Flails,Pre-Wall of Flesh
Bone_Sword,1166,Bone Sword,Melee,19,Average,Fast,FALSE,3,18 Silver Coins,Drop,FALSE,,Swords,Pre-Bosses
Book_of_Skulls,1313,Book of Skulls,Magic,29,Weak,Average,TRUE,2,1 Gold 50 Silver Coins,Drop,FALSE,Shoots a skull,Spell Tomes,Pre-Wall of Flesh
Boomstick,964,Boomstick,Ranged,14,Average,Very slow,FALSE,2,2 Gold Coins,Chest,FALSE,Fires a spread of bullets,Guns,Pre-Bosses
Boreal_Wood_Bow,2747,Boreal Wood Bow,Ranged,6,No knockback,Average,FALSE,0,20 Copper Coins,Crafting,FALSE,,Bows,Pre-Bosses
Boreal_Wood_Sword,2745,Boreal Wood Sword,Melee,8,Average,Very fast,FALSE,0,20 Copper Coins,Crafting,FALSE,,Swords,Pre-Bosses
Brand_of_the_Inferno,3823,Brand of the Inferno,Melee,95,Strong,Very fast,TRUE,5,1 Gold Coin,Drop,FALSE,Right click to guard with a shield,Swords,Pre-Plantera
Breaker_Blade,426,Breaker Blade,Melee,70,Very strong,Slow,FALSE,4,3 Gold Coins,Drop,FALSE,Deals more damage to unhurt enemies,Swords,Pre-mechanical bosses
Breathing_Reed,186,Breathing Reed,Melee,10,Weak,Average,FALSE,1,20 Silver Coins,Chest,FALSE,Increases breath time and allows breathing in water,Swords,Pre-Bosses
Bubble_Gun,2623,Bubble Gun,Magic,70,Very weak,Very fast,TRUE,8,5 Gold Coins,Drop,FALSE,Rapidly shoots forceful bubbles,Magic Guns,Pre-Lunatic Cultist
Cactus_Sword,881,Cactus Sword,Melee,10,Average,Average,FALSE,0,3 Silver 60 Copper Coins,Crafting,FALSE,,Swords,Pre-Bosses
Candy_Cane_Sword,1909,Candy Cane Sword,Melee,19,Average,Average,FALSE,1,27 Silver Coins,Chest,FALSE,,Swords,Pre-Bosses
Candy_Corn_Rifle,1782,Candy Corn Rifle,Ranged,44,Very weak,Very fast,TRUE,8,10 Gold Coins,Drop,FALSE,33% chance to not consume ammo,Guns,Pre-Golem
Cascade,3282,Cascade,Melee,27,Average,Fast,FALSE,3,1 Gold 80 Silver Coins,Drop,FALSE,,Yoyos,Pre-Wall of Flesh
Celebration,3546,Celebration,Ranged,25,Weak,Average,TRUE,8,16 Gold Coins,Buy,FALSE,,Launchers,Pre-Lunatic Cultist
Celebration_Mk2,3930,Celebration Mk2,Ranged,50,Extremely strong,Insanely fast,TRUE,10,10 Gold Coins,Drop,FALSE,50% chance to not consume ammo | 'All good things end with a bang... or many!',Launchers,Endgame
Chain_Guillotines,3012,Chain Guillotines,Melee,59,Weak,Very fast,TRUE,5,8 Gold Coins,Drop,FALSE,,Flails,Pre-mechanical bosses
Chain_Gun,1929,Chain Gun,Ranged,31,Very weak,Insanely fast,TRUE,8,9 Gold Coins,Drop,FALSE,50% chance to not consume ammo,Guns,Pre-Golem
Chain_Knife,1325,Chain Knife,Melee,12,Weak,Very fast,FALSE,1,25 Silver Coins,Drop,FALSE,,Flails,Pre-Bosses
Charged_Blaster_Cannon,2882,Charged Blaster Cannon,Magic,100,Very weak,Very fast,FALSE,8,10 Gold Coins,Drop,FALSE,,,Pre-Lunatic Cultist
Chik,3283,Chik,Melee,39,Weak,Fast,FALSE,4,4 Gold Coins,Crafting,FALSE,,Yoyos,Pre-mechanical bosses
Chlorophyte_Claymore,1226,Chlorophyte Claymore,Melee,95,Average,Average,FALSE,7,5 Gold 52 Silver Coins,Crafting,FALSE,Shoots a powerful orb,Swords,Pre-Plantera
Chlorophyte_Partisan,1228,Chlorophyte Partisan,Melee,49,Strong,Fast,FALSE,7,3 Gold 60 Silver Coins,Crafting,FALSE,Shoots a spore cloud,Spears,Pre-Plantera
Chlorophyte_Saber,1227,Chlorophyte Saber,Melee,57,Weak,Very fast,TRUE,7,5 Gold 52 Silver Coins,Crafting,FALSE,Shoots a spore cloud,Swords,Pre-Plantera
Chlorophyte_Shotbow,1229,Chlorophyte Shotbow,Ranged,34,Very weak,Very fast,TRUE,7,4 Gold 80 Silver Coins,Crafting,FALSE,,Bows,Pre-Plantera
Christmas_Tree_Sword,1928,Christmas Tree Sword,Melee,86,Strong,Fast,TRUE,8,10 Gold Coins,Drop,FALSE,Shoots Christmas ornaments,Swords,Pre-Golem
Classy_Cane,3351,Classy Cane,Melee,16,Weak,Very fast,FALSE,2,50 Silver Coins,Drop,FALSE,,Swords,Pre-mechanical bosses
Clinger_Staff,3014,Clinger Staff,Magic,43,Very strong,Fast,TRUE,5,8 Gold Coins,Drop,FALSE,Summons a wall of cursed flames,,Pre-mechanical bosses
Clockwork_Assault_Rifle,434,Clockwork Assault Rifle,Ranged,17,No knockback,Very fast,TRUE,4,3 Gold Coins,Drop,FALSE,Three round burst | Only the first shot consumes ammo,Guns,Pre-mechanical bosses
Cobalt_Naginata,537,Cobalt Naginata,Melee,44,Weak,Average,FALSE,4,90 Silver Coins,Crafting,FALSE,,Spears,Pre-mechanical bosses
Cobalt_Repeater,435,Cobalt Repeater,Ranged,35,Extremely weak,Fast,TRUE,4,1 Gold 20 Silver Coins,Crafting,FALSE,,Bows,Pre-mechanical bosses
Cobalt_Sword,483,Cobalt Sword,Melee,40,Average,Very fast,TRUE,4,1 Gold 38 Silver Coins,Crafting,FALSE,,Swords,Pre-mechanical bosses
Code_1,3262,Code 1,Melee,21,Weak,Fast,FALSE,2,1 Gold Coin,Buy,FALSE,,Yoyos,Pre-Skeletron
Code_2,3284,Code 2,Melee,54,Weak,Fast,FALSE,5,5 Gold Coins,Buy,FALSE,,Yoyos,Pre-Plantera
Coin_Gun,905,Coin Gun,Ranged,0,Very weak,Insanely fast,TRUE,6,6 Gold Coins,Drop,FALSE,Uses coins for ammo | Higher valued coins do more damage,Specialist,Pre-mechanical bosses
Combat_Wrench,4818,Combat Wrench,Melee,25,Weak,Very fast,FALSE,2,50 Silver Coins,Drop,FALSE,"For fixing things, and breaking them'",Boomerangs,Pre-Wall of Flesh
Cool_Whip,4911,Cool Whip,Summon,45,Extremely weak,Average,FALSE,4,4 Gold Coins,Crafting,FALSE,6 summon tag damage | Your summons will focus struck enemies | Strike enemies to summon a friendly snowflake | 'Let me have some of that cool whip',Whips,Pre-mechanical bosses
Copper_Bow,3504,Copper Bow,Ranged,6,No knockback,Average,FALSE,0,70 Copper Coins,Crafting,FALSE,,Bows,Pre-Bosses
Copper_Broadsword,3508,Copper Broadsword,Melee,9,Average,Fast,FALSE,0,90 Copper Coins,Crafting,FALSE,,Swords,Pre-Bosses
Copper_Shortsword,3507,Copper Shortsword,Melee,5,Weak,Very fast,FALSE,0,70 Copper Coins,Crafting,TRUE,,Swords,Pre-Bosses
Crimson_Rod,1256,Crimson Rod,Magic,12,No knockback,Fast,FALSE,1,1 Gold 50 Silver Coins,Chest,FALSE,Summons a cloud to rain blood on your foes,,Pre-Bosses
Crystal_Serpent,3209,Crystal Serpent,Magic,40,Average,Average,TRUE,5,4 Gold Coins,Fishing,FALSE,Shoots an explosive crystal charge,Wands,Pre-mechanical bosses
Crystal_Storm,518,Crystal Storm,Magic,32,Average,Insanely fast,TRUE,4,4 Gold Coins,Crafting,FALSE,Summons rapid fire crystal shards,Spell Tomes,Pre-mechanical bosses
Crystal_Vile_Shard,3051,Crystal Vile Shard,Magic,25,Very weak,Slow,TRUE,5,8 Gold Coins,Drop,FALSE,Summons a massive crystal spike | Ignores 10 points of enemy Defense,,Pre-mechanical bosses
Cursed_Flames,519,Cursed Flames,Magic,55,Strong,Very fast,TRUE,4,4 Gold Coins,Crafting,FALSE,Summons unholy fire balls,Spell Tomes,Pre-mechanical bosses
Cutlass,672,Cutlass,Melee,53,Weak,Very fast,TRUE,4,3 Gold 60 Silver Coins,Drop,FALSE,,Swords,Pre-mechanical bosses
Daedalus_Stormbow,3029,Daedalus Stormbow,Ranged,38,Very weak,Very fast,TRUE,6,8 Gold Coins,Drop,FALSE,Shoots arrows from the sky,Bows,Pre-mechanical bosses
Dao_of_Pow,389,Dao of Pow,Melee,100,Average,Very slow,FALSE,5,2 Gold 88 Silver Coins,Crafting,FALSE,Has a chance to confuse | 'Find your inner pieces',Flails,Pre-mechanical bosses
Dark_Harvest,4680,Dark Harvest,Summon,100,Very weak,Average,FALSE,8,10 Gold Coins,Drop,FALSE,Your summons will focus struck enemies | Strike enemies with dark energy to gain attack speed | Dark energy jumps from enemies hit by summons,Whips,Pre-Golem
Dark_Lance,274,Dark Lance,Melee,34,Average,Fast,FALSE,3,2 Gold 50 Silver Coins,Chest,FALSE,,Spears,Pre-Wall of Flesh
Dart_Pistol,3007,Dart Pistol,Ranged,28,Weak,Fast,TRUE,5,8 Gold Coins,Drop,FALSE,,Specialist,Pre-mechanical bosses
Dart_Rifle,3008,Dart Rifle,Ranged,52,Average,Very slow,TRUE,5,8 Gold Coins,Drop,FALSE,,Specialist,Pre-mechanical bosses
Daybreak,3543,Daybreak,Melee,150,Average,Very fast,TRUE,10,10 Gold Coins,Crafting,FALSE,Rend your foes asunder with a spear of light!',,Pre-Moon Lord
Deadly_Sphere_Staff,3249,Deadly Sphere Staff,Summon,40,Very weak,Very slow,TRUE,8,10 Gold Coins,Drop,FALSE,Summons a deadly sphere to fight for you,Summons,Pre-Golem
Death_Sickle,1327,Death Sickle,Melee,57,Average,Fast,TRUE,6,7 Gold 50 Silver Coins,Drop,FALSE,Shoots a deathly sickle,Swords,Pre-Plantera
Demon_Bow,44,Demon Bow,Ranged,14,Extremely weak,Fast,FALSE,1,36 Silver Coins,Crafting,FALSE,,Bows,Pre-Bosses
Demon_Scythe,272,Demon Scythe,Magic,35,Average,Very fast,FALSE,3,1 Gold 50 Silver Coins,Drop,FALSE,Casts a demon scythe,Spell Tomes,Pre-Bosses
Desert_Tiger_Staff,4607,Desert Tiger Staff,Summon,41,Weak,Very slow,TRUE,8,20 Gold Coins,Chest,FALSE,Summons a white tiger to fight for you,Summons,Pre-Golem
Diamond_Staff,744,Diamond Staff,Magic,23,Average,Average,TRUE,2,60 Silver Coins,Crafting,FALSE,,Wands,Pre-Bosses
Drippler_Crippler,4272,Drippler Crippler,Melee,110,Strong,Very slow,FALSE,4,4 Gold Coins,Drop,FALSE,,Flails,Pre-mechanical bosses
Durendal,4678,Durendal,Summon,55,Very weak,Average,FALSE,5,4 Gold 60 Silver Coins,Crafting,FALSE,9 summon tag damage | Your summons will focus struck enemies | Strike enemies to gain attack speed,Whips,Pre-Plantera
Ebonwood_Bow,655,Ebonwood Bow,Ranged,8,No knockback,Average,FALSE,0,20 Copper Coins,Crafting,FALSE,,Bows,Pre-Bosses
Ebonwood_Sword,653,Ebonwood Sword,Melee,11,Average,Very fast,FALSE,0,20 Copper Coins,Crafting,FALSE,,Swords,Pre-Bosses
Electrosphere_Launcher,2796,Electrosphere Launcher,Ranged,40,Very weak,Very fast,FALSE,8,10 Gold Coins,Drop,FALSE,,Launchers,Pre-Lunatic Cultist
Elf_Melter,1910,Elf Melter,Ranged,53,Extremely weak,Average,TRUE,8,10 Gold Coins,Drop,FALSE,Uses gel for ammo | Ignores 15 points of enemy Defense,Specialist,Pre-Golem
Emerald_Staff,742,Emerald Staff,Magic,19,Average,Slow,TRUE,1,30 Silver Coins,Crafting,FALSE,,Wands,Pre-Bosses
Enchanted_Boomerang,55,Enchanted Boomerang,Melee,17,Very strong,Very fast,FALSE,1,1 Gold Coin,Crafting,TRUE,,Boomerangs,Pre-Bosses
Enchanted_Sword_%28item%29,989,Enchanted Sword,Melee,23,Average,Fast,TRUE,2,3 Gold Coins,Chest | Drop,TRUE,Shoots an enchanted sword beam,Swords,Pre-Bosses
Eventide,4953,Eventide,Ranged,50,Very weak,Average,TRUE,8,5 Gold Coins,Drop,FALSE,,Bows,Pre-Lunatic Cultist
Excalibur,368,Excalibur,Melee,72,Average,Very fast,TRUE,5,4 Gold 60 Silver Coins,Crafting,TRUE,,Swords,Pre-Plantera
Exotic_Scimitar,3349,Exotic Scimitar,Melee,20,Average,Very fast,FALSE,2,50 Silver Coins,Drop,FALSE,,Swords,Pre-Bosses
Explosive_Trap_Cane,3833,Explosive Trap Cane,Summon,59,Extremely weak,Average,FALSE,5,5 Gold Coins,Buy | Crafting,TRUE,Summons a sentry | A trap that explodes when enemies come near | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Plantera
Explosive_Trap_Rod,3832,Explosive Trap Rod,Summon,24,Extremely weak,Average,FALSE,3,1 Gold Coin,Buy | Crafting,TRUE,Summons a sentry | A trap that explodes when enemies come near | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Skeletron
Explosive_Trap_Staff,3834,Explosive Trap Staff,Summon,126,Extremely weak,Average,FALSE,8,15 Gold Coins,Buy | Crafting,TRUE,Summons a sentry | A trap that explodes when enemies come near | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Lunatic Cultist
Falcon_Blade,2608,Falcon Blade,Melee,25,Average,Very fast,TRUE,4,20 Silver Coins,Chest,FALSE,,Swords,Pre-Bosses
Fetid_Baghnakhs,3013,Fetid Baghnakhs,Melee,60,Average,Insanely fast,TRUE,5,8 Gold Coins,Drop,FALSE,,Swords,Pre-mechanical bosses
Finch_Staff,4281,Finch Staff,Summon,7,Weak,Very slow,TRUE,1,1 Gold Coin,Chest | Crafting,FALSE,Summons a baby finch to fight for you,Summons,Pre-Bosses
Firecracker,4912,Firecracker,Summon,37,Very weak,Average,FALSE,4,3 Gold Coins,Drop,FALSE,Your summons will focus struck enemies | Strike enemies with blazing energy | Blazing energy explodes from enemies hit by summons,Whips,Pre-mechanical bosses
Flairon,2611,Flairon,Melee,66,Average,Very fast,TRUE,8,5 Gold Coins,Drop,FALSE,Spews homing bubbles,Flails,Pre-Lunatic Cultist
Flamarang,119,Flamarang,Melee,49,Very strong,Very fast,FALSE,3,2 Gold Coins,Crafting,FALSE,,Boomerangs,Pre-Skeletron
Flameburst_Cane,3819,Flameburst Cane,Summon,42,Very weak,Average,FALSE,5,5 Gold Coin,Buy | Crafting,TRUE,Summons a sentry | An average speed tower that shoots exploding fireballs | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Plantera
Flameburst_Rod,3818,Flameburst Rod,Summon,17,Very weak,Average,FALSE,3,1 Gold Coin,Buy | Crafting,TRUE,Summons a sentry | An average speed tower that shoots exploding fireballs | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Skeletron
Flameburst_Staff,3820,Flameburst Staff,Summon,88,Very weak,Average,FALSE,8,15 Gold Coins,Buy | Crafting,TRUE,Summons a sentry | An average speed tower that shoots exploding fireballs | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Lunatic Cultist
Flamelash,218,Flamelash,Magic,32,Strong,Average,FALSE,3,2 Gold 50 Silver Coins,Chest,FALSE,Summons a controllable ball of fire,Wands,Pre-Wall of Flesh
Flamethrower,506,Flamethrower,Ranged,35,Extremely weak,Average,TRUE,5,10 Gold Coins,Crafting,FALSE,Uses gel for ammo | Ignores 15 points of enemy Defense,Specialist,Pre-Plantera
Flaming_Mace,5012,Flaming Mace,Melee,18,Average,Very slow,FALSE,1,2 Gold Coins,Crafting,FALSE,May the fire light your way',Flails,Pre-Bosses
Flare_Gun,930,Flare Gun,Ranged,2,No knockback,Very fast,FALSE,1,1 Gold Coin,Chest,FALSE,,Specialist,Pre-Bosses
Flintlock_Pistol,95,Flintlock Pistol,Ranged,13,Extremely weak,Very fast,FALSE,1,1 Gold Coin,Buy,FALSE,,Guns,Pre-Bosses
Flinx_Staff,5069,Flinx Staff,Summon,8,Very weak,Very slow,TRUE,3,50 Silver Coins,Crafting,FALSE,Summons a snow flinx to fight for you,Summons,Pre-Bosses
Flower_Pow,1259,Flower Pow,Melee,130,Strong,Very slow,FALSE,7,6 Gold Coins,Drop,FALSE,Shoots razor sharp flower petals at nearby enemies,Flails,Pre-Golem
Flower_of_Fire,112,Flower of Fire,Magic,48,Average,Very fast,FALSE,3,2 Gold 50 Silver Coins,Chest,FALSE,Throws balls of fire,Wands,Pre-Wall of Flesh
Flower_of_Frost,1264,Flower of Frost,Magic,60,Strong,Very fast,FALSE,5,5 Gold Coins,Drop,FALSE,Shoots a ball of frost,Wands,Pre-mechanical bosses
Flying_Dragon,3827,Flying Dragon,Melee,180,Average,Very fast,TRUE,8,5 Gold Coins,Drop,FALSE,Unleashes the heart's energy forward,Swords,Pre-Lunatic Cultist
Flying_Knife,3030,Flying Knife,Melee,40,Average,Very fast,FALSE,6,8 Gold Coins,Drop,FALSE,Throws a controllable flying knife,,Pre-mechanical bosses
Flymeal,5129,Flymeal,Melee,15,Average,Very fast,FALSE,2,35 Silver Coins,Crafting,FALSE,Best used for pranking townsfolk | 'Makes others smell like cilantro',Swords,Pre-Bosses
Format_C,3315,Format:C,Melee,39,Weak,Fast,FALSE,3,4 Gold Coins,Buy,FALSE,,Yoyos,Pre-mechanical bosses
Frost_Staff,726,Frost Staff,Magic,46,Average,Very fast,TRUE,5,4 Gold Coins,Drop,FALSE,Shoots a stream of frost,Wands,Pre-mechanical bosses
Frostbrand,676,Frostbrand,Melee,49,Average,Fast,TRUE,5,5 Gold Coins,Drop,FALSE,Shoots an icy bolt,Swords,Pre-mechanical bosses
Fruitcake_Chakram,1918,Fruitcake Chakram,Melee,19,Very strong,Very fast,FALSE,1,1 Gold Coin,Chest,FALSE,,Boomerangs,Pre-Bosses
Gatligator,2270,Gatligator,Ranged,21,Extremely weak,Insanely fast,TRUE,4,7 Gold Coins,Buy,FALSE,50% chance to not consume ammo | Highly inaccurate,Guns,Pre-mechanical bosses
Ghastly_Glaive,3836,Ghastly Glaive,Melee,45,Strong,Average,FALSE,5,1 Gold Coin,Drop,FALSE,Summons ghosts as it hits enemies,Spears,Pre-Plantera
Gladius,4463,Gladius,Melee,15,Very weak,Fast,FALSE,1,30 Silver Coins,Drop,FALSE,Are you not entertained?!',Swords,Pre-Bosses
Gold_Bow,3516,Gold Bow,Ranged,11,No knockback,Average,FALSE,0,14 Silver Coins,Crafting,FALSE,,Bows,Pre-Bosses
Gold_Broadsword,3520,Gold Broadsword,Melee,15,Strong,Very fast,FALSE,0,18 Silver Coins,Crafting,TRUE,,Swords,Pre-Bosses
Gold_Shortsword,3519,Gold Shortsword,Melee,12,Average,Very fast,FALSE,0,14 Silver Coins,Crafting,FALSE,,Swords,Pre-Bosses
Golden_Shower,1336,Golden Shower,Magic,30,Weak,Very fast,TRUE,4,4 Gold Coins,Drop | Crafting,FALSE,Sprays a shower of ichor | Decreases target's defense,Spell Tomes,Pre-mechanical bosses
Golem_Fist,1297,Golem Fist,Melee,90,Insane,Fast,TRUE,7,7 Gold Coins,Drop,FALSE,Punches with the force of a golem,Flails,Pre-Lunatic Cultist
Gradient,3316,Gradient,Melee,49,Weak,Fast,FALSE,3,4 Gold Coins,Buy,FALSE,,Yoyos,Pre-mechanical bosses
Gray_Zapinator,4347,Gray Zapinator,Magic,42,Average,Very slow,FALSE,2,3 Gold 40 Silver Coins,Buy,FALSE,It might be broken',Magic Guns,Pre-Skeletron
Grenade_Launcher,758,Grenade Launcher,Ranged,60,Weak,Very fast,TRUE,8,7 Gold Coins,Drop,FALSE,,Launchers,Pre-Golem
Gungnir,550,Gungnir,Melee,61,Strong,Fast,FALSE,5,4 Gold 60 Silver Coins,Crafting,FALSE,,Spears,Pre-Plantera
Hallowed_Jousting_Lance,4790,Hallowed Jousting Lance,Melee,90,Insane,Fast,FALSE,5,4 Gold 60 Silver Coins,Crafting,FALSE,Build momentum to increase attack power,,Pre-Plantera
Hallowed_Repeater,578,Hallowed Repeater,Ranged,50,Very weak,Very fast,TRUE,4,4 Gold Coins,Crafting,FALSE,,Bows,Pre-Plantera
Ham_Bat,5096,Ham Bat,Melee,57,Strong,Very fast,TRUE,4,1 Gold Coin,Drop,FALSE,Grows more powerful the better fed you are | Defeating enemies temporarily improves healing | 'TIS A WEAPON O' PIG BUTT!',Swords,Pre-mechanical bosses
Handgun,164,Handgun,Ranged,26,Very weak,Very fast,FALSE,2,1 Gold 75 Silver Coins,Chest,TRUE,,Guns,Pre-Wall of Flesh
Harpoon,160,Harpoon,Ranged,25,Average,Average,TRUE,2,54 Silver Coins,Drop,FALSE,,Specialist,Pre-Bosses
Heat_Ray,1295,Heat Ray,Magic,90,Very weak,Very fast,TRUE,7,7 Gold Coins,Drop,FALSE,Shoots a scorching ray of heat | 'Oolaa!!',Magic Guns,Pre-Lunatic Cultist
Hel-Fire,3290,Hel-Fire,Melee,41,Average,Fast,FALSE,4,4 Gold Coins,Drop,FALSE,,Yoyos,Pre-mechanical bosses
